8/8/8/4K3/5R2/8/8/k7 w - - 0 1,11
8/8/8/4K3/5R2/8/8/k7 b - - 0 1,-18
2R5/8/8/4K3/8/8/8/k7 w - - 0 1,11
2R5/8/8/4K3/8/8/8/k7 b - - 0 1,-18
8/8/8/4K3/8/5R2/8/k7 w - - 0 1,11
8/8/8/4K3/8/5R2/8/k7 b - - 0 1,-18
8/3R4/8/4K3/8/8/8/k7 w - - 0 1,11
8/3R4/8/4K3/8/8/8/k7 b - - 0 1,-18
8/8/8/4K3/8/1R6/8/k7 w - - 0 1,9
8/8/8/4K3/8/1R6/8/k7 b - - 0 1,-14
8/8/8/4K3/8/7R/8/k7 w - - 0 1,11
8/8/8/4K3/8/7R/8/k7 b - - 0 1,-18
4R3/8/8/4K3/8/8/8/k7 w - - 0 1,11
4R3/8/8/4K3/8/8/8/k7 b - - 0 1,-18
R7/8/8/4K3/8/8/8/k7 b - - 0 1,-18
8/7R/8/4K3/8/8/8/k7 w - - 0 1,11
8/7R/8/4K3/8/8/8/k7 b - - 0 1,-18
8/8/8/4K3/8/4R3/8/k7 w - - 0 1,11
8/8/8/4K3/8/4R3/8/k7 b - - 0 1,-18
8/8/8/3RK3/8/8/8/k7 w - - 0 1,11
8/8/8/3RK3/8/8/8/k7 b - - 0 1,-18
8/8/8/4K3/8/8/8/k3R3 b - - 0 1,-18
8/8/6R1/4K3/8/8/8/k7 w - - 0 1,11
8/8/6R1/4K3/8/8/8/k7 b - - 0 1,-18
8/8/8/4K3/8/8/3R4/k7 w - - 0 1,9
8/8/8/4K3/8/8/3R4/k7 b - - 0 1,-10
8/1R6/8/4K3/8/8/8/k7 w - - 0 1,7
8/1R6/8/4K3/8/8/8/k7 b - - 0 1,-10
1R6/8/8/4K3/8/8/8/k7 w - - 0 1,7
1R6/8/8/4K3/8/8/8/k7 b - - 0 1,-10
8/8/8/8/5R2/1K6/8/k7 w - - 0 1,1
8/8/8/8/5R2/1K6/8/k7 b - - 0 1,-2
2R5/8/8/8/8/1K6/8/k7 w - - 0 1,1
2R5/8/8/8/8/1K6/8/k7 b - - 0 1,-4
8/8/8/8/8/1K3R2/8/k7 w - - 0 1,1
8/8/8/8/8/1K3R2/8/k7 b - - 0 1,-2
8/3R4/8/8/8/1K6/8/k7 w - - 0 1,1
8/3R4/8/8/8/1K6/8/k7 b - - 0 1,-2
8/8/8/8/8/1K5R/8/k7 w - - 0 1,1
8/8/8/8/8/1K5R/8/k7 b - - 0 1,-2
4R3/8/8/8/8/1K6/8/k7 w - - 0 1,1
4R3/8/8/8/8/1K6/8/k7 b - - 0 1,-2
R7/8/8/8/8/1K6/8/k7 b - - 0 1,-4
8/7R/8/8/8/1K6/8/k7 w - - 0 1,1
8/7R/8/8/8/1K6/8/k7 b - - 0 1,-2
8/8/8/8/8/1K2R3/8/k7 w - - 0 1,1
8/8/8/8/8/1K2R3/8/k7 b - - 0 1,-2
8/8/8/3R4/8/1K6/8/k7 w - - 0 1,1
8/8/8/3R4/8/1K6/8/k7 b - - 0 1,-2
8/8/6R1/8/8/1K6/8/k7 w - - 0 1,1
8/8/6R1/8/8/1K6/8/k7 b - - 0 1,-2
8/8/8/8/8/1K6/3R4/k7 w - - 0 1,1
8/8/8/8/8/1K6/3R4/k7 b - - 0 1,-2
8/1R6/8/8/8/1K6/8/k7 w - - 0 1,3
8/1R6/8/8/8/1K6/8/k7 b - - 0 1,-4
1R6/8/8/8/8/1K6/8/k7 w - - 0 1,3
1R6/8/8/8/8/1K6/8/k7 b - - 0 1,-4
8/5K2/8/8/5R2/8/8/k7 w - - 0 1,19
8/5K2/8/8/5R2/8/8/k7 b - - 0 1,-24
2R5/5K2/8/8/8/8/8/k7 w - - 0 1,15
2R5/5K2/8/8/8/8/8/k7 b - - 0 1,-22
8/5K2/8/8/8/5R2/8/k7 w - - 0 1,19
8/5K2/8/8/8/5R2/8/k7 b - - 0 1,-22
8/3R1K2/8/8/8/8/8/k7 w - - 0 1,15
8/3R1K2/8/8/8/8/8/k7 b - - 0 1,-22
8/5K2/8/8/8/1R6/8/k7 w - - 0 1,15
8/5K2/8/8/8/1R6/8/k7 b - - 0 1,-18
8/5K2/8/8/8/7R/8/k7 w - - 0 1,19
8/5K2/8/8/8/7R/8/k7 b - - 0 1,-22
4R3/5K2/8/8/8/8/8/k7 w - - 0 1,15
4R3/5K2/8/8/8/8/8/k7 b - - 0 1,-22
R7/5K2/8/8/8/8/8/k7 b - - 0 1,-24
8/5K1R/8/8/8/8/8/k7 w - - 0 1,19
8/5K1R/8/8/8/8/8/k7 b - - 0 1,-24
8/5K2/8/8/8/4R3/8/k7 w - - 0 1,19
8/5K2/8/8/8/4R3/8/k7 b - - 0 1,-22
8/5K2/8/3R4/8/8/8/k7 w - - 0 1,15
8/5K2/8/3R4/8/8/8/k7 b - - 0 1,-22
8/5K2/8/8/8/8/8/k3R3 b - - 0 1,-26
8/5K2/6R1/8/8/8/8/k7 w - - 0 1,15
8/5K2/6R1/8/8/8/8/k7 b - - 0 1,-24
8/5K2/8/8/8/8/3R4/k7 w - - 0 1,17
8/5K2/8/8/8/8/3R4/k7 b - - 0 1,-18
8/1R3K2/8/8/8/8/8/k7 w - - 0 1,11
8/1R3K2/8/8/8/8/8/k7 b - - 0 1,-14
1R6/5K2/8/8/8/8/8/k7 w - - 0 1,11
1R6/5K2/8/8/8/8/8/k7 b - - 0 1,-14
8/8/8/1K6/5R2/8/8/k7 w - - 0 1,9
8/8/8/1K6/5R2/8/8/k7 b - - 0 1,-12
2R5/8/8/1K6/8/8/8/k7 w - - 0 1,9
2R5/8/8/1K6/8/8/8/k7 b - - 0 1,-10
8/8/8/1K6/8/5R2/8/k7 w - - 0 1,9
8/8/8/1K6/8/5R2/8/k7 b - - 0 1,-14
8/3R4/8/1K6/8/8/8/k7 w - - 0 1,9
8/3R4/8/1K6/8/8/8/k7 b - - 0 1,-12
8/8/8/1K6/8/1R6/8/k7 w - - 0 1,9
8/8/8/1K6/8/1R6/8/k7 b - - 0 1,-8
8/8/8/1K6/8/7R/8/k7 w - - 0 1,9
8/8/8/1K6/8/7R/8/k7 b - - 0 1,-14
4R3/8/8/1K6/8/8/8/k7 w - - 0 1,9
4R3/8/8/1K6/8/8/8/k7 b - - 0 1,-12
R7/8/8/1K6/8/8/8/k7 b - - 0 1,-12
8/7R/8/1K6/8/8/8/k7 w - - 0 1,9
8/7R/8/1K6/8/8/8/k7 b - - 0 1,-12
8/8/8/1K6/8/4R3/8/k7 w - - 0 1,9
8/8/8/1K6/8/4R3/8/k7 b - - 0 1,-14
8/8/8/1K1R4/8/8/8/k7 w - - 0 1,9
8/8/8/1K1R4/8/8/8/k7 b - - 0 1,-12
8/8/8/1K6/8/8/8/k3R3 b - - 0 1,-14
8/8/6R1/1K6/8/8/8/k7 w - - 0 1,9
8/8/6R1/1K6/8/8/8/k7 b - - 0 1,-12
8/8/8/1K6/8/8/3R4/k7 w - - 0 1,7
8/8/8/1K6/8/8/3R4/k7 b - - 0 1,-10
8/1R6/8/1K6/8/8/8/k7 w - - 0 1,7
8/1R6/8/1K6/8/8/8/k7 b - - 0 1,-12
1R6/8/8/1K6/8/8/8/k7 w - - 0 1,7
1R6/8/8/1K6/8/8/8/k7 b - - 0 1,-12
8/8/8/8/5R2/8/7K/k7 w - - 0 1,15
8/8/8/8/5R2/8/7K/k7 b - - 0 1,-20
2R5/8/8/8/8/8/7K/k7 w - - 0 1,17
2R5/8/8/8/8/8/7K/k7 b - - 0 1,-24
8/8/8/8/8/5R2/7K/k7 w - - 0 1,15
8/8/8/8/8/5R2/7K/k7 b - - 0 1,-18
8/3R4/8/8/8/8/7K/k7 w - - 0 1,17
8/3R4/8/8/8/8/7K/k7 b - - 0 1,-24
8/8/8/8/8/1R6/7K/k7 w - - 0 1,17
8/8/8/8/8/1R6/7K/k7 b - - 0 1,-20
8/8/8/8/8/7R/7K/k7 w - - 0 1,17
8/8/8/8/8/7R/7K/k7 b - - 0 1,-18
4R3/8/8/8/8/8/7K/k7 w - - 0 1,15
4R3/8/8/8/8/8/7K/k7 b - - 0 1,-20
R7/8/8/8/8/8/7K/k7 b - - 0 1,-26
8/7R/8/8/8/8/7K/k7 w - - 0 1,19
8/7R/8/8/8/8/7K/k7 b - - 0 1,-20
8/8/8/8/8/4R3/7K/k7 w - - 0 1,15
8/8/8/8/8/4R3/7K/k7 b - - 0 1,-18
8/8/8/3R4/8/8/7K/k7 w - - 0 1,17
8/8/8/3R4/8/8/7K/k7 b - - 0 1,-24
8/8/8/8/8/8/7K/k3R3 b - - 0 1,-20
8/8/6R1/8/8/8/7K/k7 w - - 0 1,15
8/8/6R1/8/8/8/7K/k7 b - - 0 1,-20
8/8/8/8/8/8/3R3K/k7 w - - 0 1,13
8/8/8/8/8/8/3R3K/k7 b - - 0 1,-16
8/1R6/8/8/8/8/7K/k7 w - - 0 1,19
8/1R6/8/8/8/8/7K/k7 b - - 0 1,-20
1R6/8/8/8/8/8/7K/k7 w - - 0 1,19
1R6/8/8/8/8/8/7K/k7 b - - 0 1,-18
8/8/8/8/5R2/8/8/k4K2 w - - 0 1,13
8/8/8/8/5R2/8/8/k4K2 b - - 0 1,-16
2R5/8/8/8/8/8/8/k4K2 w - - 0 1,13
2R5/8/8/8/8/8/8/k4K2 b - - 0 1,-20
8/8/8/8/8/5R2/8/k4K2 w - - 0 1,11
8/8/8/8/8/5R2/8/k4K2 b - - 0 1,-14
8/3R4/8/8/8/8/8/k4K2 w - - 0 1,13
8/3R4/8/8/8/8/8/k4K2 b - - 0 1,-16
8/8/8/8/8/1R6/8/k4K2 w - - 0 1,13
8/8/8/8/8/1R6/8/k4K2 b - - 0 1,-16
8/8/8/8/8/7R/8/k4K2 w - - 0 1,11
