8/8/8/8/5R2/K7/8/1k6 w - - 0 1,3
8/8/8/8/5R2/K7/8/1k6 b - - 0 1,-24
8/8/5R2/8/8/K7/8/1k6 w - - 0 1,3
8/8/5R2/8/8/K7/8/1k6 b - - 0 1,-24
8/8/8/R7/8/K7/8/1k6 w - - 0 1,3
8/8/8/R7/8/K7/8/1k6 b - - 0 1,-24
8/8/8/8/8/K3R3/8/1k6 w - - 0 1,3
8/8/8/8/8/K3R3/8/1k6 b - - 0 1,-22
8/8/3R4/8/8/K7/8/1k6 w - - 0 1,3
8/8/3R4/8/8/K7/8/1k6 b - - 0 1,-10
K7/8/8/1R6/8/8/8/1k6 b - - 0 1,-24
K7/8/8/8/5R2/8/8/1k6 w - - 0 1,21
K7/8/8/8/5R2/8/8/1k6 b - - 0 1,-28
K7/8/5R2/8/8/8/8/1k6 w - - 0 1,19
K7/8/5R2/8/8/8/8/1k6 b - - 0 1,-24
K7/8/8/R7/8/8/8/1k6 w - - 0 1,19
K7/8/8/R7/8/8/8/1k6 b - - 0 1,-24
K7/8/8/8/8/4R3/8/1k6 w - - 0 1,21
K7/8/8/8/8/4R3/8/1k6 b - - 0 1,-26
K7/8/3R4/8/8/8/8/1k6 w - - 0 1,19
K7/8/3R4/8/8/8/8/1k6 b - - 0 1,-22
8/8/8/1R6/8/5K2/8/1k6 b - - 0 1,-22
8/8/8/8/5R2/5K2/8/1k6 w - - 0 1,13
8/8/8/8/5R2/5K2/8/1k6 b - - 0 1,-16
8/8/5R2/8/8/5K2/8/1k6 w - - 0 1,13
8/8/5R2/8/8/5K2/8/1k6 b - - 0 1,-18
8/8/8/R7/8/5K2/8/1k6 w - - 0 1,17
8/8/8/R7/8/5K2/8/1k6 b - - 0 1,-20
8/8/8/8/8/4RK2/8/1k6 w - - 0 1,13
8/8/8/8/8/4RK2/8/1k6 b - - 0 1,-14
8/8/3R4/8/8/5K2/8/1k6 w - - 0 1,11
8/8/3R4/8/8/5K2/8/1k6 b - - 0 1,-18
K7/8/8/1R6/8/8/8/1k6 b - - 0 1,-24
K7/8/8/8/5R2/8/8/1k6 w - - 0 1,21
K7/8/8/8/5R2/8/8/1k6 b - - 0 1,-28
K7/8/5R2/8/8/8/8/1k6 w - - 0 1,19
K7/8/5R2/8/8/8/8/1k6 b - - 0 1,-24
K7/8/8/R7/8/8/8/1k6 w - - 0 1,19
K7/8/8/R7/8/8/8/1k6 b - - 0 1,-24
K7/8/8/8/8/4R3/8/1k6 w - - 0 1,21
K7/8/8/8/8/4R3/8/1k6 b - - 0 1,-26
K7/8/3R4/8/8/8/8/1k6 w - - 0 1,19
K7/8/3R4/8/8/8/8/1k6 b - - 0 1,-22
8/5K2/8/1R6/8/8/8/1k6 b - - 0 1,-24
8/5K2/8/8/5R2/8/8/1k6 w - - 0 1,19
8/5K2/8/8/5R2/8/8/1k6 b - - 0 1,-24
8/5K2/5R2/8/8/8/8/1k6 w - - 0 1,19
8/5K2/5R2/8/8/8/8/1k6 b - - 0 1,-26
8/5K2/8/R7/8/8/8/1k6 w - - 0 1,21
8/5K2/8/R7/8/8/8/1k6 b - - 0 1,-24
